#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column double[] Time Gamma
#column double[] Energy Gamma
#column double[] Id Gamma
#column double[] Time Neutron
#column double[] Energy Neutron
#column double[] Id Neutron
,,,2.84126e-09;4.57524e-09,1.93275;0.0210687,1;1
,,,3.27134e-09;3.75085e-09,0.300119;0.702604,1;1
1.94739e-10,0.160336,2,,,
2.0507e-10;2.4082e-10,0.445654;0.0758365,2;2,,,
,,,3.14157e-09;4.17783e-09;1.23075e-08;1.91864e-08,1.16409;0.0294641;0.000357974;3.53742e-05,0;0;0;0
,,,5.59604e-09;3.33255e-09;7.10429e-09;7.52837e-09,0.37149;0.611453;0.0588443;0.354588,0;1;1;1
1.52565e-10;1.49889e-10,0.170565;0.30305,0;1,6.22834e-09;2.2131e-09,0.326837;2.64655,0;1
2.27473e-10,0.527235,0,4.18248e-09;5.80843e-09;5.93697e-09;1.01856e-08;1.14474e-08;1.16738e-08;1.85724e-08;1.87513e-08;1.91147e-08;2.08681e-08,0.241573;0.291963;0.0289839;0.042826;0.0199571;0.0177724;0.00156213;0.00678591;0.0291877;0.0106382,0;1;1;1;1;1;1;1;1;1
1.63348e-10;1.78077e-10;1.62875e-10,0.0352008;0.0637665;0.790391,0;0;1,3.09236e-09;3.32078e-09;4.30549e-09;4.69867e-09;2.50597e-08;6.15658e-08;6.27346e-08;1.01745e-07;1.49364e-07;1.80215e-07,0.638459;0.103393;0.392898;0.000314877;3.63911e-05;0.000418763;9.55812e-05;0.000175926;6.93956e-05;1.57174e-05,0;0;0;0;0;0;0;0;0;0
,,,2.22228e-09;2.75245e-09,1.68866;0.0399979,1;1
1.76713e-10,0.0953219,0,,,
1.54375e-10,0.0166497,0,,,
1.71864e-10,0.185701,1,3.61796e-09;5.06222e-09;6.02432e-09;6.78557e-09;2.15817e-08;5.01994e-09;5.47673e-09;5.69142e-09;1.4518e-08;1.50125e-08,0.915268;0.156044;0.0403756;0.00145761;0.000833739;0.675513;0.000314385;0.000932576;0.0487339;0.00856803,0;0;0;0;0;1;1;1;1;1
,,,9.73013e-09,0.0685397,1
2.11527e-10,0.856523,3,1.71283e-09;1.84702e-09;3.38805e-09;4.06806e-09,1.01029;2.18313;0.0577228;0.0321071,1;1;1;1
2.0272e-10;2.4035e-10,0.122211;0.184806,3;3,2.13681e-09;3.48939e-09;5.76351e-09;5.91203e-09;1.07252e-08;1.11492e-08;1.72226e-08;2.52647e-08;2.71882e-08;3.32346e-07,1.84109;0.271906;0.00765963;0.000623725;0.00247938;0.000961447;0.000122807;8.48872e-05;6.1232e-05;5.10376e-05,0;0;0;0;0;0;0;0;0;0
1.46437e-10;1.6254e-10;2.06335e-10,1.95067;0.632745;0.32137,0;1;1,3.12523e-09;6.61971e-09;7.12948e-09;9.30007e-09;9.85553e-09;1.48755e-08;2.74408e-08;2.81155e-08,0.744312;0.0141119;0.393675;0.0393931;0.0351481;0.000556175;0.00204958;3.11407e-05,0;1;1;1;1;1;1;1
